"productCode","name","price","description","imageURL","unit","Category code","Group code"
"","KELLOGG'S CORNFLAKES ME SHIJE FRUTASH 375GR",399,"KELLOGG'S CORNFLAKES ME SHIJE FRUTASH 375GR","https://bli.ecomarket.al/wp-content/uploads/2020/03/SM09705.jpg","cope","",""
"","FINETI COKOKREM ME KAKAO 200GR",150,"FINETI COKOKREM ME KAKAO 200GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM00202.png","cope","",""
"","FINETI COKOKREM ME KAKAO 400GR",289,"FINETI COKOKREM ME KAKAO 400GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM00200.png","cope","",""
"","MORAVA MJALTE AKACIE 1KG",1190,"MORAVA MJALTE AKACIE 1KG","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM01543.png","cope","",""
"","MORAVA MJALTE AKACIE 500 GR",599,"MORAVA MJALTE AKACIE 500 GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm01546.jpg","cope","",""
"","MORAVA MJALTE SHUMELULESH 300 GR",379,"MORAVA MJALTE SHUMELULESH 300 GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/Mjalt-morava.png","cope","",""
"","NESQUIK A-Z DRITHERA CEREALS 325GR",449,"NESQUIK A-Z DRITHERA CEREALS 325GR","https://bli.ecomarket.al/wp-content/uploads/2020/03/SM26139-e1585744996212.jpg","cope","",""
"","NESQUIK DRITHERA 375 GR",430,"NESQUIK DRITHERA 375 GR","https://bli.ecomarket.al/wp-content/uploads/2020/03/nesquikcereal.png","cope","",""
"","NESQUIK DUO CEREAL 325GR",469,"NESQUIK DUO CEREAL 325GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM26138.png","cope","",""
"","NESTLE CHOCAPIC CEREAL 375GR",440,"NESTLE CHOCAPIC CEREAL 375GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM06659.png","cope","",""
"","NESTLE CORNFLAKES BAG 250GR",209,"NESTLE CORNFLAKES BAG 250GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM16692.png","cope","",""
"","NESTLE MUESLI CHOCO&BANANA  CEREAL 35G",60,"NESTLE MUESLI CHOCO&BANANA  CEREAL 35G","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM23004.png","cope","",""
"","NUTELLA COKOKREM 400 GR",359,"NUTELLA COKOKREM 400 GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/NUTELLA.jpg","cope","",""
"","NUTELLA COKOKREM 750 GR",699,"NUTELLA COKOKREM 750 GR","https://bli.ecomarket.al/wp-content/uploads/2020/03/nutella.png","cope","",""
"","PALMA GRURE PER ASHURE 400GR",99,"PALMA GRURE PER ASHURE 400GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/PALMA-GRURE-PER-ASHURE-400GR.jpg","cope","",""
"","PREMTI MJALTE SHUMELULESH 150GR",279,"PREMTI MJALTE SHUMELULESH 150GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM20344.png","cope","",""
"","PREMTI MJALTE SHUMELULESH 300GR",499,"PREMTI MJALTE SHUMELULESH 300GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM20345.png","cope","",""
"","PREMTI RECEL FIKU 370GR",170,"PREMTI RECEL FIKU 370GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/premti-recel-fiku.jpg","cope","",""
"","PREMTI RECEL FTOI 370GR",170,"PREMTI RECEL FTOI 370GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM27544.png","cope","",""
"","PREMTI RECEL QERSHIE 370GR",170,"PREMTI RECEL QERSHIE 370GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM27543.png","cope","",""
"","PREMTI RECEL QERSHIE 720GR",269,"PREMTI RECEL QERSHIE 720GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/premti-recel-qershie-1.jpg","cope","",""
"","QUAKER TERSHERE 500 GR",199,"QUAKER TERSHERE 500 GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm24937.jpg","cope","",""
"","SANTA ROSA RECEL ME KAJSI 600GR",289,"SANTA ROSA RECEL ME KAJSI 600GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM29377.png","cope","",""
"","SEJEGA RECEL FIKU 314ML",135,"SEJEGA RECEL FIKU 314ML","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm02796.png","cope","",""
"","SEJEGA RECEL FIKU 535ML",169,"SEJEGA RECEL FIKU 535ML","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM02797.png","cope","",""
"","SEJEGA RECEL QERSHIE 535ML",179,"SEJEGA RECEL QERSHIE 535ML","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM02795.png","cope","",""
"","TEUTA BULLGUR KOKERR MADH 500GR",79,"TEUTA BULLGUR KOKERR MADH 500GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/TEUTA-BULLGUR-KOKERR-MADH-500GR.png","cope","",""
"","SANTA ROSA RECEL AMARENE 600 GR",289,"SANTA ROSA RECEL AMARENE 600 GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SANTA-ROSA.png","cope","",""
"","TEUTA BULLGUR KOKERR MESEM 500GR",79,"TEUTA BULLGUR KOKERR MESEM 500GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/TEUTA-BULLGUR-KOKERR-MESEM-500GR.png","cope","",""
"","TEUTA TERSHERE E PLOTE 1 KG",179,"TEUTA TERSHERE E PLOTE 1 KG","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm28770.jpg","cope","",""
"","TEUTA TERSHERE E PLOTE 500 GR",99,"TEUTA TERSHERE E PLOTE 500 GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/teuta-tershere-e-plote.png","cope","",""
"","TEUTA TERSHERE MEDIUM 1KG",179,"TEUTA TERSHERE MEDIUM 1KG","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm28770.jpg","cope","",""
"","TEUTA TERSHERE MEDIUM 500 GR",99,"TEUTA TERSHERE MEDIUM 500 GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/tershere-medium-500g.png","cope","",""
"","TOSTY CORNFLAKES?375GR",249,"TOSTY CORNFLAKES?375GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM01444.png","cope","",""
